District_Name,Season,Area,Production,Crop
LUDHIANA,Kharif     ,7000,7600,Arhar/Tur
MOGA,Kharif     ,2000,1000,Arhar/Tur
RUPNAGAR,Kharif     ,1000,900,Arhar/Tur
S.A.S NAGAR,Kharif     ,3000,2800,Arhar/Tur
SANGRUR,Kharif     ,3000,3700,Arhar/Tur
TARN TARAN,Kharif     ,3000,1700,Arhar/Tur
ADILABAD,Kharif     ,34731,28618,Arhar/Tur
KARIMNAGAR,Kharif     ,3126,2254,Arhar/Tur
KHAMMAM,Kharif     ,1873,978,Arhar/Tur
MAHBUBNAGAR,Kharif     ,100635,45286,Arhar/Tur
MEDAK,Kharif     ,22001,6996,Arhar/Tur
NALGONDA,Kharif     ,15661,7470,Arhar/Tur
NIZAMABAD,Kharif     ,3380,886,Arhar/Tur
RANGAREDDI,Kharif     ,31049,12451,Arhar/Tur
WARANGAL,Kharif     ,7335,3726,Arhar/Tur
DHALAI,Kharif     ,768,566,Arhar/Tur
GOMATI,Kharif     ,159,116,Arhar/Tur
KHOWAI,Kharif     ,312,214,Arhar/Tur
NORTH TRIPURA,Kharif     ,570,402,Arhar/Tur
SEPAHIJALA,Kharif     ,183,144,Arhar/Tur
SOUTH TRIPURA,Kharif     ,256,180,Arhar/Tur
UNAKOTI,Kharif     ,125,103,Arhar/Tur
WEST TRIPURA,Kharif     ,150,95,Arhar/Tur
AGRA,Kharif     ,495,544,Arhar/Tur
ALIGARH,Kharif     ,6645,4718,Arhar/Tur
ALLAHABAD,Kharif     ,15261,8508,Arhar/Tur
AMBEDKAR NAGAR,Kharif     ,3080,1486,Arhar/Tur
AMETHI,Kharif     ,3234,1560,Arhar/Tur
AMROHA,Kharif     ,196,128,Arhar/Tur
AURAIYA,Kharif     ,2968,1469,Arhar/Tur
AZAMGARH,Kharif     ,8190,10511,Arhar/Tur
BAGHPAT,Kharif     ,409,316,Arhar/Tur
BAHRAICH,Kharif     ,4050,1887,Arhar/Tur
BALLIA,Kharif     ,5076,5578,Arhar/Tur
BALRAMPUR,Kharif     ,9377,5499,Arhar/Tur
BANDA,Kharif     ,17522,3513,Arhar/Tur
BARABANKI,Kharif     ,1540,762,Arhar/Tur
BAREILLY,Kharif     ,21,15,Arhar/Tur
BASTI,Kharif     ,2647,1675,Arhar/Tur
BIJNOR,Kharif     ,11,7,Arhar/Tur
BUDAUN,Kharif     ,353,254,Arhar/Tur
BULANDSHAHR,Kharif     ,6998,5662,Arhar/Tur
CHANDAULI,Kharif     ,4641,5242,Arhar/Tur
CHITRAKOOT,Kharif     ,11800,339,Arhar/Tur
DEORIA,Kharif     ,5010,1815,Arhar/Tur
ETAH,Kharif     ,690,799,Arhar/Tur
ETAWAH,Kharif     ,1687,835,Arhar/Tur
FAIZABAD,Kharif     ,1593,769,Arhar/Tur
FARRUKHABAD,Kharif     ,1176,582,Arhar/Tur
FATEHPUR,Kharif     ,16633,3325,Arhar/Tur
FIROZABAD,Kharif     ,1373,1489,Arhar/Tur
GAUTAM BUDDHA NAGAR,Kharif     ,932,595,Arhar/Tur
GHAZIABAD,Kharif     ,479,235,Arhar/Tur
GHAZIPUR,Kharif     ,6284,6939,Arhar/Tur
GONDA,Kharif     ,5967,3500,Arhar/Tur
GORAKHPUR,Kharif     ,3518,1279,Arhar/Tur
HAMIRPUR,Kharif     ,14682,3555,Arhar/Tur
HAPUR,Kharif     ,730,563,Arhar/Tur
HARDOI,Kharif     ,1448,560,Arhar/Tur
HATHRAS,Kharif     ,3137,3765,Arhar/Tur
JALAUN,Kharif     ,5366,1750,Arhar/Tur
JAUNPUR,Kharif     ,11954,11677,Arhar/Tur
JHANSI,Kharif     ,3525,1212,Arhar/Tur
KANNAUJ,Kharif     ,1052,520,Arhar/Tur
KANPUR DEHAT,Kharif     ,7732,3814,Arhar/Tur
KANPUR NAGAR,Kharif     ,4771,3684,Arhar/Tur
KASGANJ,Kharif     ,1143,1323,Arhar/Tur
KAUSHAMBI,Kharif     ,8962,5232,Arhar/Tur
KHERI,Kharif     ,829,320,Arhar/Tur
KUSHI NAGAR,Kharif     ,720,262,Arhar/Tur
LALITPUR,Kharif     ,10,3,Arhar/Tur
LUCKNOW,Kharif     ,532,206,Arhar/Tur
MAHARAJGANJ,Kharif     ,301,109,Arhar/Tur
MAHOBA,Kharif     ,2609,1292,Arhar/Tur
MAINPURI,Kharif     ,634,696,Arhar/Tur
MATHURA,Kharif     ,2067,2296,Arhar/Tur
MAU,Kharif     ,2289,2938,Arhar/Tur
MEERUT,Kharif     ,963,743,Arhar/Tur
MIRZAPUR,Kharif     ,12636,10257,Arhar/Tur
MORADABAD,Kharif     ,83,54,Arhar/Tur
MUZAFFARNAGAR,Kharif     ,20,13,Arhar/Tur
PRATAPGARH,Kharif     ,6102,5500,Arhar/Tur
RAE BARELI,Kharif     ,4871,1372,Arhar/Tur
RAMPUR,Kharif     ,32,21,Arhar/Tur
SAMBHAL,Kharif     ,388,252,Arhar/Tur
SANT KABEER NAGAR,Kharif     ,3270,2070,Arhar/Tur
SANT RAVIDAS NAGAR,Kharif     ,5543,5755,Arhar/Tur
SHAHJAHANPUR,Kharif     ,145,105,Arhar/Tur
SHRAVASTI,Kharif     ,1547,625,Arhar/Tur
SIDDHARTH NAGAR,Kharif     ,1961,1241,Arhar/Tur
SITAPUR,Kharif     ,2401,1975,Arhar/Tur
SONBHADRA,Kharif     ,10409,9186,Arhar/Tur
SULTANPUR,Kharif     ,5565,2685,Arhar/Tur
UNNAO,Kharif     ,2164,968,Arhar/Tur
VARANASI,Kharif     ,4062,3537,Arhar/Tur
ALMORA,Kharif     ,50,39,Arhar/Tur
CHAMOLI,Kharif     ,191,98,Arhar/Tur
CHAMPAWAT,Kharif     ,58,15,Arhar/Tur
DEHRADUN,Kharif     ,357,280,Arhar/Tur
HARIDWAR,Kharif     ,1,1,Arhar/Tur
NAINITAL,Kharif     ,60,32,Arhar/Tur
PAURI GARHWAL,Kharif     ,361,315,Arhar/Tur
PITHORAGARH,Kharif     ,1,1,Arhar/Tur
RUDRA PRAYAG,Kharif     ,71,60,Arhar/Tur
TEHRI GARHWAL,Kharif     ,1620,1733,Arhar/Tur
UDAM SINGH NAGAR,Kharif     ,1,1,Arhar/Tur
UTTAR KASHI,Kharif     ,379,279,Arhar/Tur
24 PARAGANAS SOUTH,Rabi       ,514,884,Arhar/Tur
BARDHAMAN,Rabi       ,83,98,Arhar/Tur
DARJEELING,Rabi       ,13,17,Arhar/Tur
DINAJPUR UTTAR,Rabi       ,1,1,Arhar/Tur
HOOGHLY,Rabi       ,101,120,Arhar/Tur
MALDAH,Rabi       ,50,64,Arhar/Tur
MEDINIPUR WEST,Rabi       ,164,265,Arhar/Tur
MURSHIDABAD,Rabi       ,145,242,Arhar/Tur
NADIA,Rabi       ,307,528,Arhar/Tur
PURULIA,Rabi       ,671,723,Arhar/Tur
ANANTAPUR,Kharif     ,1752,1028,Bajra
ANANTAPUR,Rabi       ,47,28,Bajra
CHITTOOR,Kharif     ,2071,4622,Bajra
CHITTOOR,Rabi       ,1,2,Bajra
EAST GODAVARI,Kharif     ,58,75,Bajra
GUNTUR,Kharif     ,689,758,Bajra
GUNTUR,Rabi       ,62,68,Bajra
KADAPA,Kharif     ,1173,3010,Bajra
KADAPA,Rabi       ,1945,4991,Bajra
KURNOOL,Kharif     ,5056,7083,Bajra
KURNOOL,Rabi       ,184,258,Bajra
PRAKASAM,Kharif     ,10611,10887,Bajra
PRAKASAM,Rabi       ,1169,1199,Bajra
SPSR NELLORE,Kharif     ,622,1663,Bajra
SPSR NELLORE,Rabi       ,15,40,Bajra
SRIKAKULAM,Kharif     ,196,522,Bajra
VISAKHAPATANAM,Kharif     ,2395,2170,Bajra
VIZIANAGARAM,Kharif     ,132,95,Bajra
BHAGALPUR,Kharif     ,9,10,Bajra
BHOJPUR,Kharif     ,253,287,Bajra
BUXAR,Kharif     ,2912,3302,Bajra
GAYA,Kharif     ,14,16,Bajra
MADHEPURA,Kharif     ,12,14,Bajra
PASHCHIM CHAMPARAN,Kharif     ,1,1,Bajra
SIWAN,Kharif     ,87,99,Bajra
BALODA BAZAR,Kharif     ,7,5,Bajra
BILASPUR,Kharif     ,15,6,Bajra
JASHPUR,Kharif     ,22,9,Bajra
KABIRDHAM,Kharif     ,83,63,Bajra
KORBA,Kharif     ,8,3,Bajra
RAIGARH,Kharif     ,11,5,Bajra
BANDIPORA,Kharif     ,12,3.5,Bajra
JAMMU,Kharif     ,5465,3274.3,Bajra
KATHUA,Kharif     ,1533,843.2,Bajra
RAJAURI,Kharif     ,453,304.6,Bajra
REASI,Kharif     ,415,253,Bajra
SAMBA,Kharif     ,6450,3835.6,Bajra
UDHAMPUR,Kharif     ,1469,879.6,Bajra
BAGALKOT,Kharif     ,22021,24288,Bajra
BELGAUM,Kharif     ,9256,6146,Bajra
BELLARY,Kharif     ,15570,16700,Bajra
BIDAR,Kharif     ,3724,3743,Bajra
BIJAPUR,Kharif     ,48810,37281,Bajra
CHAMARAJANAGAR,Kharif     ,370,458,Bajra
CHITRADURGA,Kharif     ,1697,1053,Bajra
DAVANGERE,Kharif     ,624,620,Bajra
DHARWAD,Kharif     ,5,5,Bajra
GADAG,Kharif     ,2420,1421,Bajra
GULBARGA,Kharif     ,15642,18218,Bajra
KOPPAL,Kharif     ,51338,88910,Bajra
MANDYA,Kharif     ,35,37,Bajra
RAICHUR,Kharif     ,46275,33806,Bajra
RAMANAGARA,Kharif     ,3,3,Bajra
SHIMOGA,Kharif     ,2,2,Bajra
TUMKUR,Kharif     ,337,358,Bajra
YADGIR,Kharif     ,16160,15552,Bajra
AHMEDNAGAR,Kharif     ,186000,107700,Bajra
AKOLA,Kharif     ,300,100,Bajra
AURANGABAD,Kharif     ,45300,24200,Bajra
BEED,Kharif     ,127100,56200,Bajra
BULDHANA,Kharif     ,1700,300,Bajra
DHULE,Kharif     ,116800,97500,Bajra
JALGAON,Kharif     ,19000,23200,Bajra
JALNA,Kharif     ,23300,7700,Bajra
LATUR,Kharif     ,2500,400,Bajra
NANDURBAR,Kharif     ,6200,3200,Bajra
NASHIK,Kharif     ,152700,108900,Bajra
OSMANABAD,Kharif     ,17700,4400,Bajra
PARBHANI,Kharif     ,4200,400,Bajra
PUNE,Kharif     ,31500,26300,Bajra
SANGLI,Kharif     ,69600,53100,Bajra
SATARA,Kharif     ,55000,22100,Bajra
SOLAPUR,Kharif     ,5500,2200,Bajra
WASHIM,Kharif     ,200,155411,Bajra
YAVATMAL,Kharif     ,200,155411,Bajra
DIMAPUR,Kharif     ,60,60,Bajra
KIPHIRE,Kharif     ,50,50,Bajra
KOHIMA,Kharif     ,80,90,Bajra
LONGLENG,Kharif     ,50,40,Bajra
MOKOKCHUNG,Kharif     ,60,60,Bajra
MON,Kharif     ,100,110,Bajra
PEREN,Kharif     ,30,30,Bajra
PHEK,Kharif     ,60,60,Bajra
TUENSANG,Kharif     ,100,110,Bajra
WOKHA,Kharif     ,40,30,Bajra
ZUNHEBOTO,Kharif     ,60,60,Bajra
PONDICHERRY,Kharif     ,6,11,Bajra
ADILABAD,Rabi       ,1582,1482,Bajra
KARIMNAGAR,Rabi       ,1503,1408,Bajra
MAHBUBNAGAR,Kharif     ,1582,1504,Bajra
MEDAK,Kharif     ,294,275,Bajra
MEDAK,Rabi       ,9,8,Bajra
NALGONDA,Kharif     ,41,17,Bajra
NIZAMABAD,Rabi       ,6063,5681,Bajra
RANGAREDDI,Kharif     ,51,48,Bajra
RANGAREDDI,Rabi       ,9,8,Bajra
WARANGAL,Kharif     ,7,7,Bajra
WARANGAL,Rabi       ,77,72,Bajra
AGRA,Kharif     ,118146,246736,Bajra
ALIGARH,Kharif     ,84037,175469,Bajra
ALLAHABAD,Kharif     ,25672,17773,Bajra
AMBEDKAR NAGAR,Kharif     ,14,17,Bajra
AMETHI,Kharif     ,159,196,Bajra
AMROHA,Kharif     ,4172,4310,Bajra
AURAIYA,Kharif     ,36540,80311,Bajra
AZAMGARH,Kharif     ,68,135,Bajra
BAGHPAT,Kharif     ,685,1392,Bajra
BAHRAICH,Kharif     ,25,48,Bajra
BALLIA,Kharif     ,2012,3996,Bajra
BANDA,Kharif     ,3957,3669,Bajra
BARABANKI,Kharif     ,578,712,Bajra
BAREILLY,Kharif     ,7980,8607,Bajra
BUDAUN,Kharif     ,121780,206452,Bajra
BULANDSHAHR,Kharif     ,13775,27906,Bajra
CHANDAULI,Kharif     ,8792,13821,Bajra
CHITRAKOOT,Kharif     ,7271,7332,Bajra
DEORIA,Kharif     ,164,315,Bajra
ETAH,Kharif     ,47460,148170,Bajra
ETAWAH,Kharif     ,37706,73955,Bajra
FAIZABAD,Kharif     ,15,19,Bajra
FARRUKHABAD,Kharif     ,3787,5843,Bajra
FATEHPUR,Kharif     ,5161,3939,Bajra
FIROZABAD,Kharif     ,75371,160016,Bajra
GAUTAM BUDDHA NAGAR,Kharif     ,1442,2903,Bajra
GHAZIPUR,Kharif     ,13037,23380,Bajra
GORAKHPUR,Kharif     ,4,8,Bajra
HAMIRPUR,Kharif     ,386,281,Bajra
HARDOI,Kharif     ,3830,3785,Bajra
HATHRAS,Kharif     ,36688,80604,Bajra
JALAUN,Kharif     ,15683,12932,Bajra
JAUNPUR,Kharif     ,6630,8217,Bajra
JHANSI,Kharif     ,4923,3945,Bajra
KANNAUJ,Kharif     ,1081,1179,Bajra
KANPUR DEHAT,Kharif     ,18127,38679,Bajra
KANPUR NAGAR,Kharif     ,1022,1264,Bajra
KASGANJ,Kharif     ,47288,157611,Bajra
KAUSHAMBI,Kharif     ,11306,10588,Bajra
KHERI,Kharif     ,284,305,Bajra
KUSHI NAGAR,Kharif     ,92,176,Bajra
LUCKNOW,Kharif     ,628,674,Bajra
MAHOBA,Kharif     ,1,1,Bajra
MAINPURI,Kharif     ,21434,51063,Bajra
MATHURA,Kharif     ,39390,51443,Bajra
MAU,Kharif     ,67,133,Bajra
MEERUT,Kharif     ,27,55,Bajra
MIRZAPUR,Kharif     ,8430,10942,Bajra
MORADABAD,Kharif     ,4475,6207,Bajra
PRATAPGARH,Kharif     ,9860,7733,Bajra
RAE BARELI,Kharif     ,622,667,Bajra
RAMPUR,Kharif     ,2031,1995,Bajra
SAHARANPUR,Kharif     ,3,6,Bajra
SAMBHAL,Kharif     ,74352,111751,Bajra
SANT KABEER NAGAR,Kharif     ,22,42,Bajra
SANT RAVIDAS NAGAR,Kharif     ,9694,11383,Bajra
SHAHJAHANPUR,Kharif     ,4166,6795,Bajra
SHRAVASTI,Kharif     ,3,6,Bajra
SITAPUR,Kharif     ,2478,2580,Bajra
SONBHADRA,Kharif     ,169,259,Bajra
SULTANPUR,Kharif     ,168,207,Bajra
UNNAO,Kharif     ,1124,1245,Bajra
VARANASI,Kharif     ,5430,5898,Bajra
BAGESHWAR,Kharif     ,2,2,Bajra
COOCHBEHAR,Kharif     ,115,29,Bajra
PURULIA,Kharif     ,49,19,Bajra
ANANTAPUR,Whole Year ,687,5756000,Coconut 
CHITTOOR,Whole Year ,3465,29033000,Coconut 
EAST GODAVARI,Whole Year ,46865,780162000,Coconut 
GUNTUR,Whole Year ,112,2428000,Coconut 
KADAPA,Whole Year ,121,1014000,Coconut 
KRISHNA,Whole Year ,1829,39653000,Coconut 
KURNOOL,Whole Year ,8,67000,Coconut 
PRAKASAM,Whole Year ,37,802000,Coconut 
SPSR NELLORE,Whole Year ,491,10645000,Coconut 
SRIKAKULAM,Whole Year ,13811,328149000,Coconut 
VISAKHAPATANAM,Whole Year ,7416,160779000,Coconut 
VIZIANAGARAM,Whole Year ,2534,14190000,Coconut 
WEST GODAVARI,Whole Year ,21729,718991000,Coconut 
BASTAR,Whole Year ,1,155411,Coconut 
BIJAPUR,Whole Year ,21,155411,Coconut 
DANTEWADA,Whole Year ,1,155411,Coconut 
KONDAGAON,Whole Year ,34,155411,Coconut 
SUKMA,Whole Year ,2,155411,Coconut 
NORTH GOA,Whole Year ,11399,564,Coconut 
SOUTH GOA,Whole Year ,14387,714,Coconut 
BAGALKOT,Whole Year ,743,6630,Coconut 
BANGALORE RURAL,Whole Year ,2255,20123,Coconut 
BELGAUM,Whole Year ,131,1169,Coconut 
BELLARY,Whole Year ,555,4953,Coconut 
BENGALURU URBAN,Whole Year ,1281,11431,Coconut 
BIDAR,Whole Year ,19,170,Coconut 
BIJAPUR,Whole Year ,296,2641,Coconut 
CHAMARAJANAGAR,Whole Year ,9122,81403,Coconut 
